MQ_rankings:
       gene  traj       <Q>  MisfoldingProp  num_frames  num_misfolded_frames  Folded
450  Q46856     3  0.804771        1.000000        2667                  2667    True
497  Q46856    49  0.800738        1.000000        2667                  2667    True
271  P60546     3  0.799651        0.999250        2667                  2665    True
251  P0A6B4    16  0.783651        0.968504        2667                  2583    True
303  P60546    32  0.778876        1.000000        2667                  2667    True
453  P60546    15  0.770550        1.000000        2667                  2667    True
258  P60546     1  0.753147        0.995501        2667                  2655    True
256  P60546    17  0.752386        0.993626        2667                  2650    True
LossGain_fractions:
       gene  traj  num_frames   Loss   Gain  Total  LossOverlap  GainOverlap  Total_Overlap  pureLoss_frames  pureGain_frames  bothLossGain_frames  FracLoss  FracGain  FracPureLoss  FracPureGain  FracbothLossGain  FracOverlap  CondLossOverlap  CondGainOverlap  LossNoOverlap  GainNoOverlap  TotalNoOverlap  FracLossNoOverlap  FracGainNoOverlap
139  Q46856    38        2667   2578   5356   7934         2578         2580           5158                0               89                 2578  0.324931  0.675069      0.000000      0.033371          0.966629     0.650113         1.000000         0.481703              0           2776            2776           0.000000           1.000000
141  Q46856    47        2667   2581   5350   7931         2581         2601           5182                0               90                 2577  0.325432  0.674568      0.000000      0.033746          0.966254     0.653385         1.000000         0.486168              0           2749            2749           0.000000           1.000000
2    Q46856     6        2667   1479   5112   6591         1383         1383           2766                0             1188                 1479  0.224397  0.775603      0.000000      0.445444          0.554556     0.419663         0.935091         0.270540             96           3729            3825           0.025098           0.974902
4    Q46856    23        2667   1464   5363   6827         1337         1337           2674                0             1203                 1464  0.214443  0.785557      0.000000      0.451069          0.548931     0.391680         0.913251         0.249301            127           4026            4153           0.030580           0.969420
142  Q46856    36        2667      0   9891   9891            0            0              0                0             2667                    0  0.000000  1.000000      0.000000      1.000000          0.000000     0.000000              NaN         0.000000              0           9891            9891           0.000000           1.000000
103  P37747    18        2667      0  32898  32898            0            0              0                0             2667                    0  0.000000  1.000000      0.000000      1.000000          0.000000     0.000000              NaN         0.000000              0          32898           32898           0.000000           1.000000
112  Q46856     8        2667      0   7765   7765            0            0              0                0             2667                    0  0.000000  1.000000      0.000000      1.000000          0.000000     0.000000              NaN         0.000000              0           7765            7765           0.000000           1.000000
108  P37747    34        2667      0  32669  32669            0            0              0                0             2667                    0  0.000000  1.000000      0.000000      1.000000          0.000000     0.000000              NaN         0.000000              0          32669           32669           0.000000           1.000000
92   P37747    10        2667      0  32559  32559            0            0              0                0             2667                    0  0.000000  1.000000      0.000000      1.000000          0.000000     0.000000              NaN         0.000000              0          32559           32559           0.000000           1.000000
110  P37747    37        2667      0  32027  32027            0            0              0                0             2667                    0  0.000000  1.000000      0.000000      1.000000          0.000000     0.000000              NaN         0.000000              0          32027           32027           0.000000           1.000000
9    Q46856    39        2666   1456   5169   6625         1349         1349           2698                0             1211                 1455  0.219774  0.780226      0.000000      0.454239          0.545761     0.407245         0.926511         0.260979            107           3820            3927           0.027247           0.972753
97   P37747     4        2667   8903   2192  11095         4609         2192           6801             1150                0                 1517  0.802434  0.197566      0.431196      0.000000          0.568804     0.612979         0.517691         1.000000           4294              0            4294           1.000000           0.000000
100  P37747    26        2667   9405  12955  22360         8407        12954          21361                0                0                 2667  0.420617  0.579383      0.000000      0.000000          1.000000     0.955322         0.893886         0.999923            998              1             999           0.998999           0.001001
116  P37747    48        2667   9360  12826  22186         8369        12822          21191                0                0                 2667  0.421888  0.578112      0.000000      0.000000          1.000000     0.955152         0.894124         0.999688            991              4             995           0.995980           0.004020
96   P37747     0        2667   9432  13034  22466         8391        13034          21425                0                0                 2667  0.419834  0.580166      0.000000      0.000000          1.000000     0.953663         0.889631         1.000000           1041              0            1041           1.000000           0.000000
104  P37747    19        2667   8814   2395  11209         4887         2395           7282             1039                0                 1628  0.786332  0.213668      0.389576      0.000000          0.610424     0.649657         0.554459         1.000000           3927              0            3927           1.000000           0.000000
101  P37747    13        2667   8789   2379  11168         4986         2379           7365             1032                0                 1635  0.786981  0.213019      0.386952      0.000000          0.613048     0.659473         0.567300         1.000000           3803              0            3803           1.000000           0.000000
123  P37747    47        2667   9364  12933  22297         8382        12930          21312                0                0                 2667  0.419967  0.580033      0.000000      0.000000          1.000000     0.955824         0.895130         0.999768            982              3             985           0.996954           0.003046
122  P37747    46        2667   1385  25561  26946          135         1266           1401                0             1360                 1307  0.051399  0.948601      0.000000      0.509936          0.490064     0.051993         0.097473         0.049529           1250          24295           25545           0.048933           0.951067
19   P37747    32        2667   2026   8068  10094         1226         2475           3701                0             1001                 1666  0.200713  0.799287      0.000000      0.375328          0.624672     0.366653         0.605133         0.306767            800           5593            6393           0.125137           0.874863
20   P37747    39        2667   2432   5332   7764         1429         1428           2857                0              796                 1871  0.313241  0.686759      0.000000      0.298463          0.701537     0.367980         0.587582         0.267817           1003           3904            4907           0.204402           0.795598
18   P37747    28        2667   2028   8009  10037         1196         2416           3612                0             1018                 1649  0.202052  0.797948      0.000000      0.381702          0.618298     0.359868         0.589744         0.301661            832           5593            6425           0.129494           0.870506
22   P37747     1        2667   2347   5323   7670         1380         1378           2758                0              832                 1835  0.305997  0.694003      0.000000      0.311961          0.688039     0.359583         0.587985         0.258877            967           3945            4912           0.196865           0.803135
99   P37747    25        2667  13970   2669  16639            0            0              0                0                0                 2667  0.839594  0.160406      0.000000      0.000000          1.000000     0.000000         0.000000         0.000000          13970           2669           16639           0.839594           0.160406
25   P37747    33        2667   2369   5326   7695         1409         1407           2816                0              808                 1859  0.307862  0.692138      0.000000      0.302962          0.697038     0.365952         0.594766         0.264176            960           3919            4879           0.196762           0.803238
60   P37747     8        2667  13490   2669  16159            0            0              0                0                0                 2667  0.834829  0.165171      0.000000      0.000000          1.000000     0.000000         0.000000         0.000000          13490           2669           16159           0.834829           0.165171
23   P37747    38        2667   2327   5331   7658         1379         1378           2757                0              838                 1829  0.303865  0.696135      0.000000      0.314211          0.685789     0.360016         0.592609         0.258488            948           3953            4901           0.193430           0.806570
111  P37747    40        2667  14134   2669  16803            0            0              0                0                0                 2667  0.841159  0.158841      0.000000      0.000000          1.000000     0.000000         0.000000         0.000000          14134           2669           16803           0.841159           0.158841
93   P37747    12        2667  13902   2670  16572            0            0              0                0                0                 2667  0.838885  0.161115      0.000000      0.000000          1.000000     0.000000         0.000000         0.000000          13902           2670           16572           0.838885           0.161115
119  Q46856     5        2667   2778   9708  12486         2669         4718           7387                0                0                 2667  0.222489  0.777511      0.000000      0.000000          1.000000     0.591623         0.960763         0.485991            109           4990            5099           0.021377           0.978623
26   P37747    29        2667   2337   5334   7671         1367         1367           2734                0              849                 1818  0.304654  0.695346      0.000000      0.318335          0.681665     0.356407         0.584938         0.256280            970           3967            4937           0.196476           0.803524
105  P37747    41        2667  13493   2665  16158            0            0              0                5                0                 2662  0.835066  0.164934      0.001875      0.000000          0.998125     0.000000         0.000000         0.000000          13493           2665           16158           0.835066           0.164934
24   P37747    27        2667   2097   8067  10164         1260         2535           3795                0              969                 1698  0.206316  0.793684      0.000000      0.363330          0.636670     0.373377         0.600858         0.314243            837           5532            6369           0.131418           0.868582
59   P37747     7        2667  13647   2670  16317            0            0              0                2                0                 2665  0.836367  0.163633      0.000750      0.000000          0.999250     0.000000         0.000000         0.000000          13647           2670           16317           0.836367           0.163633
106  P37747    43        2667  13807   2667  16474            0            0              0                0                0                 2667  0.838109  0.161891      0.000000      0.000000          1.000000     0.000000         0.000000         0.000000          13807           2667           16474           0.838109           0.161891
144  Q46856    35        2667   2784   9533  12317         2667         4703           7370                0                0                 2667  0.226029  0.773971      0.000000      0.000000          1.000000     0.598360         0.957974         0.493339            117           4830            4947           0.023651           0.976349
140  Q46856    37        2667   2769   9591  12360         2669         4728           7397                0                0                 2667  0.224029  0.775971      0.000000      0.000000          1.000000     0.598463         0.963886         0.492962            100           4863            4963           0.020149           0.979851
52   Q46856    16        2667   2789   9569  12358         2667         4732           7399                0                0                 2667  0.225684  0.774316      0.000000      0.000000          1.000000     0.598721         0.956257         0.494514            122           4837            4959           0.024602           0.975398
51   Q46856    13        2667   2788   9444  12232         2667         4654           7321                0                0                 2667  0.227927  0.772073      0.000000      0.000000          1.000000     0.598512         0.956600         0.492800            121           4790            4911           0.024639           0.975361
54   P0ACP7     6        2667   2667   2465   5132         2457         2458           4915              205                0                 2462  0.519680  0.480320      0.076865      0.000000          0.923135     0.957716         0.921260         0.997160            210              7             217           0.967742           0.032258
46   P0A6B4    13        2667   1996   7936   9932         1993         3881           5874                0              674                 1993  0.200967  0.799033      0.000000      0.252718          0.747282     0.591422         0.998497         0.489037              3           4055            4058           0.000739           0.999261
134  P0ACP7    35        2667   2667   2504   5171         2494         2497           4991              173                0                 2494  0.515761  0.484239      0.064867      0.000000          0.935133     0.965190         0.935133         0.997204            173              7             180           0.961111           0.038889
53   P0ACP7     5        2667   2667   2248   4915         2242         2243           4485              425                0                 2242  0.542625  0.457375      0.159355      0.000000          0.840645     0.912513         0.840645         0.997776            425              5             430           0.988372           0.011628
37   P0ACP7    42        2667   2582   5336   7918         2582         2583           5165                0               85                 2582  0.326092  0.673908      0.000000      0.031871          0.968129     0.652311         1.000000         0.484070              0           2753            2753           0.000000           1.000000
107  P37747    31        2667   6989   2669   9658            0            0              0                0                0                 2667  0.723649  0.276351      0.000000      0.000000          1.000000     0.000000         0.000000         0.000000           6989           2669            9658           0.723649           0.276351
28   P0A6B4    44        2667   2012   7905   9917         2006         3914           5920                0              660                 2007  0.202884  0.797116      0.000000      0.247469          0.752531     0.596955         0.997018         0.495130              6           3991            3997           0.001501           0.998499
136  Q46856    32        2667   2760   9578  12338         2667         4696           7363                0                0                 2667  0.223699  0.776301      0.000000      0.000000          1.000000     0.596774         0.966304         0.490290             93           4882            4975           0.018693           0.981307
78   P0A8I5    45        2667   2667   2664   5331         2664         2664           5328                3                0                 2664  0.500281  0.499719      0.001125      0.000000          0.998875     0.999437         0.998875         1.000000              3              0               3           1.000000           0.000000
55   P0ACP7    11        2667   2667   2782   5449         2666         2670           5336                1                0                 2666  0.489448  0.510552      0.000375      0.000000          0.999625     0.979262         0.999625         0.959741              1            112             113           0.008850           0.991150
137  Q46856    43        2667   3165  23258  26423         2552         6564           9116                0                0                 2667  0.119782  0.880218      0.000000      0.000000          1.000000     0.345002         0.806319         0.282225            613          16694           17307           0.035419           0.964581
45   P0A6B4    32        2667   2051   8014  10065         2040         3985           6025                0              624                 2043  0.203775  0.796225      0.000000      0.233971          0.766029     0.598609         0.994637         0.497255             11           4029            4040           0.002723           0.997277
102  P37747    15        2667      9  56662  56671            9           42             51                0             2658                    9  0.000159  0.999841      0.000000      0.996625          0.003375     0.000900         1.000000         0.000741              0          56620           56620           0.000000           1.000000
14   P0A6B4    39        2667   5339   5087  10426         5313         2825           8138                1                0                 2666  0.512085  0.487915      0.000375      0.000000          0.999625     0.780549         0.995130         0.555337             26           2262            2288           0.011364           0.988636
0    P0A6B4     7        2667   2663   5156   7819         2657         2659           5316                0                4                 2663  0.340581  0.659419      0.000000      0.001500          0.998500     0.679882         0.997747         0.515710              6           2497            2503           0.002397           0.997603
10   P0A6B4    12        2667   5331   5234  10565         5312         2854           8166                1                0                 2666  0.504591  0.495409      0.000375      0.000000          0.999625     0.772929         0.996436         0.545281             19           2380            2399           0.007920           0.992080
76   P0ACP7     1        2667   5306   2378   7684          143           73            216              368                0                 2299  0.690526  0.309474      0.137983      0.000000          0.862017     0.028110         0.026951         0.030698           5163           2305            7468           0.691350           0.308650
15   P0A6B4     6        2667   5331   5173  10504         5306         2750           8056                1                0                 2666  0.507521  0.492479      0.000375      0.000000          0.999625     0.766946         0.995310         0.531606             25           2423            2448           0.010212           0.989788
91   P31142    34        2667   5123   5338  10461         4200         2554           6754                0                0                 2667  0.489724  0.510276      0.000000      0.000000          1.000000     0.645636         0.819832         0.478456            923           2784            3707           0.248988           0.751012
79   P0A8I5    10        2667   2670   2666   5336         2668         2666           5334                2                0                 2665  0.500375  0.499625      0.000750      0.000000          0.999250     0.999625         0.999251         1.000000              2              0               2           1.000000           0.000000
39   P0AES0    19        2667   3466  16050  19516         3130         4757           7887                0                0                 2667  0.177598  0.822402      0.000000      0.000000          1.000000     0.404130         0.903058         0.296386            336          11293           11629           0.028893           0.971107
17   P0A6B4    14        2667   5390   5163  10553         5325         2767           8092                1                0                 2666  0.510755  0.489245      0.000375      0.000000          0.999625     0.766796         0.987941         0.535929             65           2396            2461           0.026412           0.973588
57   P31142     4        2667   5361  10675  16036         5357         6986          12343                0                0                 2667  0.334310  0.665690      0.000000      0.000000          1.000000     0.769706         0.999254         0.654426              4           3689            3693           0.001083           0.998917
82   P31142    27        2667  11441   5189  16630         6774         2519           9293                0                0                 2667  0.687974  0.312026      0.000000      0.000000          1.000000     0.558809         0.592081         0.485450           4667           2670            7337           0.636091           0.363909
16   P0AES0    22        2667   4089   2747   6836         2650         2651           5301                1               15                 2651  0.598157  0.401843      0.000375      0.005624          0.994001     0.775453         0.648080         0.965053           1439             96            1535           0.937459           0.062541
88   P31142    44        2667   5171   5333  10504         3949         2466           6415                0                0                 2667  0.492289  0.507711      0.000000      0.000000          1.000000     0.610720         0.763682         0.462404           1222           2867            4089           0.298851           0.701149
87   P31142    43        2667  11542   5327  16869         7511         2657          10168                0                0                 2667  0.684214  0.315786      0.000000      0.000000          1.000000     0.602762         0.650754         0.498780           4031           2670            6701           0.601552           0.398448
34   P0AES0     9        2667   2919    925   3844          737          737           1474             1868                0                  799  0.759365  0.240635      0.700412      0.000000          0.299588     0.383455         0.252484         0.796757           2182            188            2370           0.920675           0.079325
38   P0AES0    34        2667   2907    991   3898          772          771           1543             1818                0                  849  0.745767  0.254233      0.681665      0.000000          0.318335     0.395844         0.265566         0.778002           2135            220            2355           0.906582           0.093418
138  Q46856    27        2667   2743   8441  11184         2667         4501           7168                2                0                 2665  0.245261  0.754739      0.000750      0.000000          0.999250     0.640916         0.972293         0.533231             76           3940            4016           0.018924           0.981076
131  P0AES0    45        2667   2919   1301   4220          949          945           1894             1627                0                 1040  0.691706  0.308294      0.610049      0.000000          0.389951     0.448815         0.325111         0.726364           1970            356            2326           0.846948           0.153052
36   P0AES0     2        2667   2880   1490   4370         1234         1233           2467             1375                0                 1292  0.659039  0.340961      0.515561      0.000000          0.484439     0.564531         0.428472         0.827517           1646            257            1903           0.864950           0.135050
66   P31142    13        2667   5057   5301  10358         3577         2344           5921                0                0                 2667  0.488222  0.511778      0.000000      0.000000          1.000000     0.571635         0.707336         0.442181           1480           2957            4437           0.333559           0.666441
50   P0A6B4    47        2667    410   5400   5810          410          445            855                0             2257                  410  0.070568  0.929432      0.000000      0.846269          0.153731     0.147160         1.000000         0.082407              0           4955            4955           0.000000           1.000000
109  P37747    24        2667  10350   7987  18337         1133         2265           3398                0                0                 2667  0.564433  0.435567      0.000000      0.000000          1.000000     0.185308         0.109469         0.283586           9217           5722           14939           0.616976           0.383024
42   P0AES0    14        2667   2910   1028   3938          876          876           1752             1731                0                  936  0.738954  0.261046      0.649044      0.000000          0.350956     0.444896         0.301031         0.852140           2034            152            2186           0.930467           0.069533
48   P0AES0    30        2667   2886    953   3839          790          790           1580             1822                0                  845  0.751758  0.248242      0.683165      0.000000          0.316835     0.411566         0.273735         0.828961           2096            163            2259           0.927844           0.072156
44   P0AES0    18        2667   3295   1356   4651          731          731           1462             1656                0                 1011  0.708450  0.291550      0.620922      0.000000          0.379078     0.314341         0.221851         0.539086           2564            625            3189           0.804014           0.195986
68   P31142    29        2667  11697   3072  14769         4068         1512           5580             1106                0                 1561  0.791997  0.208003      0.414698      0.000000          0.585302     0.377818         0.347781         0.492188           7629           1560            9189           0.830232           0.169768
40   P0AES0    20        2667   2910    818   3728          681          681           1362             1942                0                  725  0.780579  0.219421      0.728159      0.000000          0.271841     0.365343         0.234021         0.832518           2229            137            2366           0.942096           0.057904
27   P31142     1        2667   5078   5237  10315         3519         2277           5796                0                2                 2665  0.492293  0.507707      0.000000      0.000750          0.999250     0.561900         0.692989         0.434791           1559           2960            4519           0.344988           0.655012
124  P60546    20        2667   6052   4084  10136         3601         3976           7577                0                0                 2667  0.597080  0.402920      0.000000      0.000000          1.000000     0.747534         0.595010         0.973555           2451            108            2559           0.957796           0.042204
128  P0AES0    39        2667   7924   5386  13310         7488         5202          12690                0                0                 2667  0.595342  0.404658      0.000000      0.000000          1.000000     0.953418         0.944977         0.965837            436            184             620           0.703226           0.296774
126  P60546    26        2667   6135   4007  10142         3574         3930           7504                0                0                 2667  0.604910  0.395090      0.000000      0.000000          1.000000     0.739894         0.582559         0.980784           2561             77            2638           0.970811           0.029189
32   P0AES0     5        2667    277   2143   2420            4            4              8               64             1573                  190  0.114463  0.885537      0.023997      0.589801          0.071241     0.003306         0.014440         0.001867            273           2139            2412           0.113184           0.886816
129  P0AES0    42        2667   2885   1017   3902          758          758           1516             1859                0                  808  0.739364  0.260636      0.697038      0.000000          0.302962     0.388519         0.262738         0.745329           2127            259            2386           0.891450           0.108550
41   P0AES0    11        2667   2969    817   3786          687          687           1374             1935                0                  732  0.784205  0.215795      0.725534      0.000000          0.274466     0.362916         0.231391         0.840881           2282            130            2412           0.946103           0.053897
35   P0AES0     1        2667   2966   1277   4243         1044         1044           2088             1551                0                 1116  0.699034  0.300966      0.581552      0.000000          0.418448     0.492105         0.351989         0.817541           1922            233            2155           0.891879           0.108121
49   P0AES0    32        2667   7843   5378  13221         7380         5174          12554                0                0                 2667  0.593223  0.406777      0.000000      0.000000          1.000000     0.949550         0.940966         0.962068            463            204             667           0.694153           0.305847
67   P31142     0        2667  11959     20  11979            4            1              5             2648                0                   19  0.998330  0.001670      0.992876      0.000000          0.007124     0.000417         0.000334         0.050000          11955             19           11974           0.998413           0.001587
33   P0AES0     6        2667  10623     49  10672           36           30             66             2620                0                   47  0.995409  0.004591      0.982377      0.000000          0.017623     0.006184         0.003389         0.612245          10587             19           10606           0.998209           0.001791
43   P0AES0    17        2667    213   2067   2280            2            2              4               70             1599                  136  0.093421  0.906579      0.026247      0.599550          0.050994     0.001754         0.009390         0.000968            211           2065            2276           0.092707           0.907293
90   P31142    46        2667  12083     49  12132           96           24            120             2618                0                   49  0.995961  0.004039      0.981627      0.000000          0.018373     0.009891         0.007945         0.489796          11987             25           12012           0.997919           0.002081
56   P31142     3        2667  12104     32  12136           16            4             20             2640                0                   27  0.997363  0.002637      0.989876      0.000000          0.010124     0.001648         0.001322         0.125000          12088             28           12116           0.997689           0.002311
65   P31142    11        2667  11908     34  11942           35           10             45             2640                0                   27  0.997153  0.002847      0.989876      0.000000          0.010124     0.003768         0.002939         0.294118          11873             24           11897           0.997983           0.002017
29   P60546    38        2667   6216   3252   9468         3211         3213           6424                1                0                 2666  0.656527  0.343473      0.000375      0.000000          0.999625     0.678496         0.516570         0.988007           3005             39            3044           0.987188           0.012812
77   P0A8I5    41        2472   2376   2427   4803         2327         2328           4655               46               97                 2329  0.494691  0.505309      0.018608      0.039239          0.942152     0.969186         0.979377         0.959209             49             99             148           0.331081           0.668919
